Cluster,País_1,País_2,Años_overlap,Años_min_común,Años_max_común,Productos_comunes,Correlación,Años_solo_P1,Años_solo_P2,Rango_solo_P1,Rango_solo_P2
0,Chequia,Tayikistán,30,1993,2022,41,-0.2138733424332664,0,1,N/A-N/A,1992-1992
0,Chequia,Turkmenistán,30,1993,2022,40,-0.2446527764395121,0,1,N/A-N/A,1992-1992
0,Chequia,Ucrania,30,1993,2022,41,0.5183679638868882,0,1,N/A-N/A,1992-1992
0,Chequia,Uzbekistán,30,1993,2022,40,-0.10282261889004612,0,1,N/A-N/A,1992-1992
0,Chequia,Asia central,30,1993,2022,41,-0.11789389457384482,0,1,N/A-N/A,1992-1992
0,Croacia,Eritrea,30,1993,2022,39,-0.1323059355575525,1,0,1992-1992,N/A-N/A
0,Croacia,Eslovaquia,30,1993,2022,41,0.21225876082833187,1,0,1992-1992,N/A-N/A
0,Croacia,Eslovenia,31,1992,2022,41,0.3353682413888402,0,0,N/A-N/A,N/A-N/A
0,Croacia,Estonia,31,1992,2022,41,0.179563832825465,0,0,N/A-N/A,N/A-N/A
0,Croacia,Etiopía,30,1993,2022,39,-0.11214110759690396,1,0,1992-1992,N/A-N/A
0,Croacia,Federación de Rusia,31,1992,2022,41,0.1736924343470855,0,0,N/A-N/A,N/A-N/A
0,Croacia,Georgia,31,1992,2022,41,0.16540006229401694,0,0,N/A-N/A,N/A-N/A
0,Croacia,Kazajstán,31,1992,2022,41,0.15982239282051236,0,0,N/A-N/A,N/A-N/A
0,Croacia,Kirguistán,31,1992,2022,40,0.03677817093591149,0,0,N/A-N/A,N/A-N/A
0,Croacia,Letonia,31,1992,2022,40,0.10989036044571467,0,0,N/A-N/A,N/A-N/A
0,Croacia,Lituania,31,1992,2022,41,0.22293914805670664,0,0,N/A-N/A,N/A-N/A
0,Croacia,Luxemburgo,23,2000,2022,40,0.11383845907912067,8,0,1992-1999,N/A-N/A
0,Croacia,Macedonia del Norte,31,1992,2022,39,0.3555867625369494,0,0,N/A-N/A,N/A-N/A
0,Croacia,Micronesia (Estados Federados de),31,1992,2022,39,-0.3453916322080345,0,1,N/A-N/A,1991-1991
0,Croacia,Montenegro,17,2006,2022,40,0.34367948247046887,14,0,1992-2005,N/A-N/A
0,Croacia,Palestina,31,1992,2022,34,0.11276523875447776,0,2,N/A-N/A,1990-1991
0,Croacia,República de Moldova,31,1992,2022,40,0.05262697359612288,0,0,N/A-N/A,N/A-N/A
0,Croacia,Serbia,17,2006,2022,41,0.301589952472834,14,0,1992-2005,N/A-N/A
0,Croacia,Tayikistán,31,1992,2022,41,-0.16298933789381112,0,0,N/A-N/A,N/A-N/A
0,Croacia,Turkmenistán,31,1992,2022,40,-0.05522431072102181,0,0,N/A-N/A,N/A-N/A
0,Croacia,Ucrania,31,1992,2022,41,0.1667313884299094,0,0,N/A-N/A,N/A-N/A
0,Croacia,Uzbekistán,31,1992,2022,40,-0.06532833078157657,0,0,N/A-N/A,N/A-N/A
0,Croacia,Asia central,31,1992,2022,41,-0.11615453130554151,0,0,N/A-N/A,N/A-N/A
0,Eritrea,Eslovaquia,30,1993,2022,39,-0.19544498223380213,0,0,N/A-N/A,N/A-N/A
0,Eritrea,Eslovenia,30,1993,2022,39,-0.1949906606783635,0,1,N/A-N/A,1992-1992
0,Eritrea,Estonia,30,1993,2022,39,-0.12940533531816695,0,1,N/A-N/A,1992-1992
