País,Año_min,Año_max,Años_span,Años_únicos,Continuidad_%,N_productos,N_elementos,N_combos_prod_elem,Cobertura_productos_%,Cobertura_elementos_%,Registros_totales,Densidad_datos_%,Registros_pre1990,Registros_post1990,Tiene_pre1990,Tiene_post1990,Cluster
Jamaica,1961,2022,62,62,100.0,41,9,224,95.34883720930233,100.0,9668,69.61405529953917,2030,7638,True,True,1
Australia y Nueva Zelandia,1961,2022,62,62,100.0,42,9,228,97.67441860465115,100.0,9840,69.60950764006792,2088,7752,True,True,1
Madagascar,1961,2022,62,62,100.0,40,9,213,93.02325581395348,100.0,9190,69.58958049371498,1972,7218,True,True,1
Malí,1961,2022,62,62,100.0,40,9,214,93.02325581395348,100.0,9233,69.5884835694905,2001,7232,True,True,1
Benin,1961,2022,62,62,100.0,41,9,220,95.34883720930233,100.0,9491,69.58211143695014,2001,7490,True,True,1
África central,1961,2022,62,62,100.0,41,9,220,95.34883720930233,100.0,9488,69.56011730205279,2030,7458,True,True,1
África meridional,1961,2022,62,62,100.0,41,9,220,95.34883720930233,100.0,9488,69.56011730205279,2030,7458,True,True,1
Viet Nam,1961,2022,62,62,100.0,42,9,225,97.67441860465115,100.0,9700,69.53405017921148,2030,7670,True,True,1
Marruecos,1961,2022,62,62,100.0,42,9,225,97.67441860465115,100.0,9696,69.50537634408602,2001,7695,True,True,1
Europa,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9909,69.48807854137448,2088,7821,True,True,1
OECD,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9909,69.48807854137448,2088,7821,True,True,1
Europa occidental,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9908,69.48106591865357,2088,7820,True,True,1
Américas,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9907,69.47405329593268,2088,7819,True,True,1
América septentrional,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9907,69.47405329593268,2088,7819,True,True,1
África,1961,2022,62,62,100.0,42,9,227,97.67441860465115,100.0,9777,69.46852351854483,2088,7689,True,True,1
África septentrional,1961,2022,62,62,100.0,42,9,227,97.67441860465115,100.0,9777,69.46852351854483,2088,7689,True,True,1
Asia,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9906,69.46704067321178,2088,7818,True,True,1
Asia occidental,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9906,69.46704067321178,2088,7818,True,True,1
Oceanía,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9906,69.46704067321178,2088,7818,True,True,1
Import netos alim en Des,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9906,69.46704067321178,2088,7818,True,True,1
Europa oriental,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9905,69.46002805049089,2088,7817,True,True,1
Camboya,1961,2022,62,62,100.0,40,9,215,93.02325581395348,100.0,9259,69.45986496624155,2001,7258,True,True,1
Filipinas,1961,2022,62,62,100.0,42,9,226,97.67441860465115,100.0,9732,69.45475306879817,2030,7702,True,True,1
Europa meridional,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9904,69.45301542776998,2088,7816,True,True,1
República Dominicana,1961,2022,62,62,100.0,41,9,223,95.34883720930233,100.0,9601,69.44163170837552,2030,7571,True,True,1
Países sin litoral en vías de desarrollo,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9902,69.43899018232818,2088,7814,True,True,1
