Producto,Elemento,Registros,Completitud_%
IPPU,Emisiones (CO2eq) proveniente de F-gases (AR5),11551,66.53801843317973
Transformación de alimentos,Emisiones (N2O),12406,71.463133640553
Transformación de alimentos,Emisiones (CH4),12406,71.463133640553
Transformación de alimentos,Emisiones (CO2eq) proveniente de N2O (AR5),12406,71.463133640553
Transformación de alimentos,Emisiones (CO2eq) proveniente de CH4 (AR5),12406,71.463133640553
Transformación de alimentos,Emisiones (CO2),12406,71.463133640553
Transformación de alimentos,Emisiones (CO2eq) (AR5),12763,73.51958525345623
Emisiones derivadas de los cultivos,Emisiones (CH4),13050,75.17281105990783
Emisiones derivadas de los cultivos,Emisiones (CO2eq) proveniente de CH4 (AR5),13050,75.17281105990783
Residuos agrícolas,Emisiones indirectas (N2O),13112,75.52995391705069
Otro,Emisiones (N2O),14082,81.11751152073732
Emisiones derivadas de los cultivos,Emisiones (N2O),14084,81.12903225806451
Emisiones derivadas de los cultivos,Emisiones (CO2eq) proveniente de N2O (AR5),14084,81.12903225806451
IPPU,Emisiones (N2O),14112,81.29032258064515
Energía,Emisiones (CH4),14112,81.29032258064515
Energía,Emisiones (N2O),14112,81.29032258064515
Emisiones derivadas de los cultivos,Emisiones (CO2eq) (AR5),14149,81.50345622119815
Energía,Emisiones (CO2),14206,81.83179723502305
Quemado de residuos agrícolas,Emisiones (CO2eq) proveniente de N2O (AR5),14229,81.96428571428571
Quemado de residuos agrícolas,Emisiones (N2O),14229,81.96428571428571
Desechos,Emisiones (N2O),14236,82.00460829493088
Desechos,Emisiones (CH4),14268,82.1889400921659
IPPU,Emisiones (CO2),14268,82.1889400921659
Quemado de residuos agrícolas,Emisiones (CH4),14298,82.36175115207374
Quemado de residuos agrícolas,Emisiones (CO2eq) proveniente de CH4 (AR5),14298,82.36175115207374
Quemado de residuos agrícolas,Emisiones (CO2eq) (AR5),14303,82.39055299539172
Emissiones derivadas del sector ganadero,Emisiones (CH4),14355,82.69009216589862
Emissiones derivadas del sector ganadero,Emisiones (CO2eq) proveniente de CH4 (AR5),14355,82.69009216589862
Gestión del estiércol,Emisiones directas (N2O),14355,82.69009216589862
Emissiones derivadas del sector ganadero,Emisiones (N2O),14355,82.69009216589862
Emissiones derivadas del sector ganadero,Emisiones (CO2eq) (AR5),14355,82.69009216589862
Estiércol aplicado a los suelos,Emisiones indirectas (N2O),14355,82.69009216589862
Gestión del estiércol,Emisiones indirectas (N2O),14355,82.69009216589862
Emissiones derivadas del sector ganadero,Emisiones (CO2eq) proveniente de N2O (AR5),14355,82.69009216589862
Estiércol depositado en las pasturas,Emisiones indirectas (N2O),14355,82.69009216589862
IPCC Agricultura,Emisiones indirectas (N2O),14417,83.04723502304148
Estiércol depositado en las pasturas,Emisiones (N2O),14461,83.30069124423963
Estiércol depositado en las pasturas,Emisiones directas (N2O),14461,83.30069124423963
Estiércol depositado en las pasturas,Emisiones (CO2eq) proveniente de N2O (AR5),14461,83.30069124423963
Estiércol depositado en las pasturas,Emisiones (CO2eq) (AR5),14461,83.30069124423963
Residuos agrícolas,Emisiones (CO2eq) (AR5),14515,83.61175115207374
Residuos agrícolas,Emisiones directas (N2O),14515,83.61175115207374
Residuos agrícolas,Emisiones (N2O),14515,83.61175115207374
Residuos agrícolas,Emisiones (CO2eq) proveniente de N2O (AR5),14515,83.61175115207374
IPCC Agricultura,Emisiones directas (N2O),14582,83.99769585253456
Fertilizantes sintéticos,Emisiones (CO2eq) proveniente de N2O (AR5),14943,86.07718894009217
Fertilizantes sintéticos,Emisiones directas (N2O),14943,86.07718894009217
Fertilizantes sintéticos,Emisiones (N2O),14943,86.07718894009217
Fertilizantes sintéticos,Emisiones (CO2eq) (AR5),14943,86.07718894009217
Estiércol aplicado a los suelos,Emisiones (CO2eq) (AR5),15705,90.46658986175116
Estiércol aplicado a los suelos,Emisiones (N2O),15705,90.46658986175116
Estiércol aplicado a los suelos,Emisiones directas (N2O),15705,90.46658986175116
Estiércol aplicado a los suelos,Emisiones (CO2eq) proveniente de N2O (AR5),15705,90.46658986175116
Suelos agrícolas,Emisiones indirectas (N2O),15890,91.53225806451613
Suelos agrícolas,Emisiones directas (N2O),16110,92.79953917050692
Gestión del estiércol,Emisiones (CO2eq) proveniente de N2O (AR5),16284,93.80184331797236
Gestión del estiércol,Emisiones (N2O),16284,93.80184331797236
Fermentación entérica,Emisiones (CH4),16394,94.43548387096774
Fermentación entérica,Emisiones (CO2eq) (AR5),16394,94.43548387096774
Fermentación entérica,Emisiones (CO2eq) proveniente de CH4 (AR5),16394,94.43548387096774
Gestión del estiércol,Emisiones (CH4),16395,94.44124423963135
Gestión del estiércol,Emisiones (CO2eq) proveniente de CH4 (AR5),16395,94.44124423963135
Gestión del estiércol,Emisiones (CO2eq) (AR5),16434,94.66589861751153
Suelos agrícolas,Emisiones (CO2eq) proveniente de N2O (AR5),17102,98.51382488479263
Suelos agrícolas,Emisiones (N2O),17102,98.51382488479263
Suelos agrícolas,Emisiones (CO2eq) (AR5),17102,98.51382488479263
IPCC Agricultura,Emisiones (CH4),17289,99.59101382488478
IPCC Agricultura,Emisiones (CO2eq) proveniente de CH4 (AR5),17289,99.59101382488478
IPCC Agricultura,Emisiones (N2O),17352,99.95391705069125
IPCC Agricultura,Emisiones (CO2eq) proveniente de N2O (AR5),17352,99.95391705069125
IPCC Agricultura,Emisiones (CO2eq) (AR5),17390,100.17281105990783
