País,Año_min,Año_max,Años_span,Años_únicos,Continuidad_%,N_productos,N_elementos,N_combos_prod_elem,Cobertura_productos_%,Cobertura_elementos_%,Registros_totales,Densidad_datos_%,Registros_pre1990,Registros_post1990,Tiene_pre1990,Tiene_post1990
Marruecos,1961,2022,62,62,100.0,42,9,225,97.67441860465115,100.0,9696,69.50537634408602,2001,7695,True,True
Martinica,1961,2022,62,62,100.0,30,8,156,69.76744186046511,88.88888888888889,5987,61.90033085194375,1479,4508,True,True
Mauricio,1961,2022,62,62,100.0,40,9,216,93.02325581395348,100.0,9246,69.04121863799283,1980,7266,True,True
Mauritania,1961,2022,62,62,100.0,40,9,216,93.02325581395348,100.0,9234,68.95161290322581,2030,7204,True,True
Mayotte,1990,2022,33,33,100.0,24,6,114,55.81395348837209,66.66666666666666,3690,98.08612440191388,0,3690,False,True
México,1961,2022,62,62,100.0,42,9,228,97.67441860465115,100.0,10352,73.23146576117713,2030,8322,True,True
Micronesia (Estados Federados de),1991,2022,32,32,100.0,40,8,199,93.02325581395348,88.88888888888889,6261,98.31972361809045,0,6261,False,True
Mónaco,1961,2022,62,62,100.0,25,7,107,58.139534883720934,77.77777777777779,3963,59.7377148025324,377,3586,True,True
Mongolia,1961,2022,62,62,100.0,39,9,214,90.69767441860465,100.0,9320,70.24419656315948,1914,7406,True,True
Montenegro,2006,2022,17,17,100.0,40,9,225,93.02325581395348,100.0,3977,103.97385620915031,0,3977,False,True
Montserrat,1990,2022,33,33,100.0,33,8,175,76.74418604651163,88.88888888888889,5665,98.09523809523809,0,5665,False,True
Mozambique,1961,2022,62,62,100.0,41,9,220,95.34883720930233,100.0,9413,69.01026392961876,2001,7412,True,True
Myanmar,1961,2022,62,62,100.0,42,9,228,97.67441860465115,100.0,9801,69.33361629881153,2030,7771,True,True
Namibia,1961,2022,62,62,100.0,38,9,207,88.37209302325581,100.0,9229,71.91055010129344,1943,7286,True,True
Nauru,1961,2022,62,62,100.0,36,8,189,83.72093023255815,88.88888888888889,7386,63.031233998975935,1276,6110,True,True
Nepal,1961,2022,62,62,100.0,40,9,211,93.02325581395348,100.0,8943,68.36110686439383,1943,7000,True,True
Nicaragua,1961,2022,62,62,100.0,40,9,215,93.02325581395348,100.0,9105,68.304576144036,1972,7133,True,True
Níger,1961,2022,62,62,100.0,40,9,213,93.02325581395348,100.0,9043,68.4764500984401,1972,7071,True,True
Nigeria,1961,2022,62,62,100.0,42,9,224,97.67441860465115,100.0,9468,68.17396313364056,2030,7438,True,True
Niue,1961,2022,62,62,100.0,37,8,190,86.04651162790698,88.88888888888889,7482,63.51443123938879,1276,6206,True,True
Noruega,1961,2022,62,62,100.0,40,9,223,93.02325581395348,100.0,10953,79.22030956169536,1943,9010,True,True
Nueva Caledonia,1961,2022,62,62,100.0,37,9,198,86.04651162790698,100.0,8113,66.08830237862496,1624,6489,True,True
Nueva Zelandia,1961,2022,62,62,100.0,41,9,228,95.34883720930233,100.0,11203,79.25155631013017,2001,9202,True,True
Omán,1961,2022,62,62,100.0,41,9,224,95.34883720930233,100.0,9405,67.72033410138249,1943,7462,True,True
Países Bajos (Reino de los),1961,2022,62,62,100.0,41,9,231,95.34883720930233,100.0,11300,78.89959502862729,2001,9299,True,True
Pakistán,1961,2022,62,62,100.0,42,9,227,97.67441860465115,100.0,9511,67.57851357112405,2001,7510,True,True
Palau,1991,2022,32,32,100.0,33,7,167,76.74418604651163,77.77777777777779,4783,89.50224550898204,0,4783,False,True
Palestina,1990,2022,33,33,100.0,34,9,192,79.06976744186046,100.0,6055,95.56502525252525,0,6055,False,True
Panamá,1961,2022,62,62,100.0,41,9,220,95.34883720930233,100.0,9326,68.37243401759531,2030,7296,True,True
Papua Nueva Guinea,1961,2022,62,62,100.0,40,9,212,93.02325581395348,100.0,9048,68.83749239196591,1972,7076,True,True
Paraguay,1961,2022,62,62,100.0,41,9,224,95.34883720930233,100.0,9880,71.1405529953917,2030,7850,True,True
Perú,1961,2022,62,62,100.0,42,9,226,97.67441860465115,100.0,9593,68.46274621752784,2030,7563,True,True
Pitcairn,1990,2022,33,33,100.0,19,6,92,44.18604651162791,66.66666666666666,3036,100.0,0,3036,False,True
Polinesia Francesa,1961,2022,62,62,100.0,34,8,179,79.06976744186046,88.88888888888889,7523,67.78698864660299,1624,5899,True,True
Polonia,1961,2022,62,62,100.0,41,9,231,95.34883720930233,100.0,11395,79.5629102080715,2001,9394,True,True
Portugal,1961,2022,62,62,100.0,42,9,234,97.67441860465115,100.0,11607,80.00413564929694,2088,9519,True,True
Puerto Rico,1961,2022,62,62,100.0,34,9,180,79.06976744186046,100.0,7485,67.06989247311827,1595,5890,True,True
Qatar,1961,2022,62,62,100.0,41,9,224,95.34883720930233,100.0,9220,66.38824884792626,1823,7397,True,True
Reino Unido de Gran Bretaña e Irlanda del Norte,1961,2022,62,62,100.0,41,9,230,95.34883720930233,100.0,11137,78.09957924263674,2001,9136,True,True
República Árabe Siria,1961,2022,62,62,100.0,42,9,226,97.67441860465115,100.0,9317,66.49300599486155,1972,7345,True,True
República Centroafricana,1961,2022,62,62,100.0,40,9,213,93.02325581395348,100.0,9133,69.15795850371043,1972,7161,True,True
República de Corea,1961,2022,62,62,100.0,42,9,227,97.67441860465115,100.0,10394,73.85249396049453,2030,8364,True,True
República de Moldova,1992,2022,31,31,100.0,40,9,225,93.02325581395348,100.0,7611,109.11827956989247,0,7611,False,True
República Democrática del Congo,1961,2022,62,62,100.0,41,9,219,95.34883720930233,100.0,9477,69.79673000441892,1972,7505,True,True
República Democrática Popular Lao,1961,2022,62,62,100.0,40,9,212,93.02325581395348,100.0,8997,68.4494826536823,1972,7025,True,True
República Dominicana,1961,2022,62,62,100.0,41,9,223,95.34883720930233,100.0,9601,69.44163170837552,2030,7571,True,True
República Popular Democrática de Corea,1961,2022,62,62,100.0,40,9,218,93.02325581395348,100.0,9096,67.29801716484167,2030,7066,True,True
República Unida de Tanzanía,1961,2022,62,62,100.0,41,9,216,95.34883720930233,100.0,9061,67.65979689366786,1943,7118,True,True
Reunión,1961,2022,62,62,100.0,34,8,176,79.06976744186046,88.88888888888889,6619,60.65799120234604,1636,4983,True,True
Rumanía,1961,2022,62,62,100.0,42,9,233,97.67441860465115,100.0,11547,79.93216115187595,2088,9459,True,True
Rwanda,1961,2022,62,62,100.0,40,9,214,93.02325581395348,100.0,9005,67.87006331022008,1983,7022,True,True
Sáhara Occidental,1990,2022,33,33,100.0,28,8,143,65.11627906976744,88.88888888888889,4670,98.96164441618987,0,4670,False,True
Saint Kitts y Nevis,1961,2022,62,62,100.0,36,9,190,83.72093023255815,100.0,8021,68.08998302207131,1885,6136,True,True
Samoa,1961,2022,62,62,100.0,38,9,208,88.37209302325581,100.0,8733,67.71867245657567,1856,6877,True,True
Samoa americana,1990,2022,33,33,100.0,32,8,170,74.4186046511628,88.88888888888889,5757,102.62032085561496,0,5757,False,True
San Marino,1961,2022,62,62,100.0,27,7,111,62.7906976744186,77.77777777777779,3726,54.14123801220575,319,3407,True,True
San Pedro y Miquelón,1990,2022,33,33,100.0,30,8,155,69.76744186046511,88.88888888888889,4953,96.83284457478007,0,4953,False,True
San Vicente y las Granadinas,1961,2022,62,62,100.0,39,9,210,90.69767441860465,100.0,8922,68.52534562211981,1885,7037,True,True
Santa Lucía,1961,2022,62,62,100.0,39,9,215,90.69767441860465,100.0,8603,64.53863465866466,1830,6773,True,True
Santa Sede,1961,2022,62,62,100.0,23,7,92,53.48837209302325,77.77777777777779,3355,58.818373071528754,319,3036,True,True
Santo Tomé y Príncipe,1961,2022,62,62,100.0,39,9,213,90.69767441860465,100.0,8997,68.12812358019083,1943,7054,True,True
Senegal,1961,2022,62,62,100.0,42,9,221,97.67441860465115,100.0,9486,69.23076923076923,1972,7514,True,True
Serbia,2006,2022,17,17,100.0,41,9,226,95.34883720930233,100.0,3944,102.65486725663717,0,3944,False,True
Serbia y Montenegro,1992,2005,14,14,100.0,40,9,216,93.02325581395348,100.0,2985,98.71031746031747,0,2985,False,True
Seychelles,1961,2022,62,62,100.0,37,9,195,86.04651162790698,100.0,8100,66.99751861042184,1508,6592,True,True
Sierra Leona,1961,2022,62,62,100.0,40,9,211,93.02325581395348,100.0,9009,68.86561687815319,1972,7037,True,True
Singapur,1961,2022,62,62,100.0,38,9,210,88.37209302325581,100.0,8493,65.23041474654377,1763,6730,True,True
Somalia,1961,2022,62,62,100.0,40,9,209,93.02325581395348,100.0,8859,68.3670319493749,1974,6885,True,True
Sri Lanka,1961,2022,62,62,100.0,41,9,220,95.34883720930233,100.0,9295,68.14516129032258,1972,7323,True,True
Sudáfrica,1961,2022,62,62,100.0,41,9,222,95.34883720930233,100.0,9662,70.19761697181052,2030,7632,True,True
Sudán,2012,2022,11,11,100.0,41,9,219,95.34883720930233,100.0,2475,102.73972602739727,0,2475,False,True
Sudán (ex),1961,2011,51,51,100.0,41,9,216,95.34883720930233,100.0,6772,61.47421931735657,1972,4800,True,True
Sudán del Sur,2012,2022,11,11,100.0,39,9,205,90.69767441860465,100.0,2335,103.54767184035477,0,2335,False,True
Suecia,1961,2022,62,62,100.0,40,9,223,93.02325581395348,100.0,10787,78.0196730797049,1943,8844,True,True
Suiza,1961,2022,62,62,100.0,40,9,226,93.02325581395348,100.0,11136,79.47473594062232,2001,9135,True,True
Suriname,1961,2022,62,62,100.0,41,9,222,95.34883720930233,100.0,9235,67.09532112757918,2001,7234,True,True
Tailandia,1961,2022,62,62,100.0,42,9,226,97.67441860465115,100.0,9721,69.37624892948901,2030,7691,True,True
Tayikistán,1992,2022,31,31,100.0,42,9,223,97.67441860465115,100.0,7403,107.08809489367859,0,7403,False,True
Territorio de las Islas del Pacífico,1961,1990,30,30,100.0,26,6,126,60.46511627906976,66.66666666666666,474,12.53968253968254,348,126,True,True
Timor-Leste,1961,2022,62,62,100.0,40,9,212,93.02325581395348,100.0,8670,65.96165550821668,1856,6814,True,True
